startDateTime,endDateTime,surfacewaterElevMean,surfacewaterElevMinimum,surfacewaterElevMaximum,surfacewaterElevVariance,surfacewaterElevNumPts,surfacewaterElevExpUncert,surfacewaterElevStdErMean,sWatElevFinalQF
"2017-10-15T07:45:00Z","2017-10-15T07:50:00Z",497.12,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T07:50:00Z","2017-10-15T07:55:00Z",497.13,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T07:55:00Z","2017-10-15T08:00:00Z",497.12,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T08:00:00Z","2017-10-15T08:05:00Z",497.13,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T08:05:00Z","2017-10-15T08:10:00Z",497.12,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T08:10:00Z","2017-10-15T08:15:00Z",497.12,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T08:15:00Z","2017-10-15T08:20:00Z",497.12,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T08:20:00Z","2017-10-15T08:25:00Z",497.12,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T08:25:00Z","2017-10-15T08:30:00Z",497.12,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T08:30:00Z","2017-10-15T08:35:00Z",497.12,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T08:35:00Z","2017-10-15T08:40:00Z",497.13,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T08:40:00Z","2017-10-15T08:45:00Z",497.13,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T08:45:00Z","2017-10-15T08:50:00Z",497.13,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T08:50:00Z","2017-10-15T08:55:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T08:55:00Z","2017-10-15T09:00:00Z",497.13,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T09:00:00Z","2017-10-15T09:05:00Z",497.13,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T09:05:00Z","2017-10-15T09:10:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T09:10:00Z","2017-10-15T09:15:00Z",497.13,497.12,497.13,0.00,5,2.48,0.00,0
"2017-10-15T09:15:00Z","2017-10-15T09:20:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T09:20:00Z","2017-10-15T09:25:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T09:25:00Z","2017-10-15T09:30:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T09:30:00Z","2017-10-15T09:35:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T09:35:00Z","2017-10-15T09:40:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T09:40:00Z","2017-10-15T09:45:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T09:45:00Z","2017-10-15T09:50:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T09:50:00Z","2017-10-15T09:55:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T09:55:00Z","2017-10-15T10:00:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T10:00:00Z","2017-10-15T10:05:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T10:05:00Z","2017-10-15T10:10:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T10:10:00Z","2017-10-15T10:15:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T10:15:00Z","2017-10-15T10:20:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T10:20:00Z","2017-10-15T10:25:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T10:25:00Z","2017-10-15T10:30:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T10:30:00Z","2017-10-15T10:35:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T10:35:00Z","2017-10-15T10:40:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T10:40:00Z","2017-10-15T10:45:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T10:45:00Z","2017-10-15T10:50:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T10:50:00Z","2017-10-15T10:55:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T10:55:00Z","2017-10-15T11:00:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T11:00:00Z","2017-10-15T11:05:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T11:05:00Z","2017-10-15T11:10:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T11:10:00Z","2017-10-15T11:15:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T11:15:00Z","2017-10-15T11:20:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T11:20:00Z","2017-10-15T11:25:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T11:25:00Z","2017-10-15T11:30:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T11:30:00Z","2017-10-15T11:35:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
"2017-10-15T11:35:00Z","2017-10-15T11:40:00Z",497.13,497.13,497.13,0.00,5,2.48,0.00,0
